ticker
NVDA
AAPL
MSFT
AMZN
GOOGL
AVGO
GOOG
META
MU
TSLA
BRK.B
JPM
LLY
AMD
INTC
JNJ
XOM
V
WMT
CSCO
LRCX
AMAT
CAT
COST
ABBV
MA
GE
BAC
UNH
PG
HD
CVX
GS
KO
KLAC
NFLX
MRK
GEV
SNDK
TXN
PM
ORCL
MS
PLTR
WFC
RTX
IBM
C
MRVL
LIN
PANW
STX
WDC
QCOM
ADI
APH
MCD
PEP
AMGN
VZ
TJX
AXP
TMO
NEE
DIS
BA
CRWD
ANET
GLW
ABT
GILD
T
ETN
UNP
UBER
WELL
DE
SCHW
HON
ISRG
BLK
BKNG
PFE
PLD
COP
PGR
CVS
DELL
LOW
APP
CRM
COF
SPGI
CB
VRT
MO
PH
SBUX
VRTX
DHR
BMY
HWM
SYK
TT
SO
EQIX
MDT
CDNS
PWR
DUK
LMT
BNY
NEM
CMI
NOW
WMB
PNC
MCK
USB
FTNT
FCX
ADP
MMM
SNPS
JCI
CME
GD
TMUS
CSX
WM
ELV
CEG
MAR
BX
RCL
MRSH
ADBE
MDLZ
AMT
UPS
ACN
EMR
HLT
CMCSA
SHW
HOOD
CL
CI
CRH
COHR
INTU
ICE
TDG
NXPI
ROST
GM
DDOG
AEP
ORLY
VLO
ECL
ITW
MPC
EOG
MPWR
MCO
AON
SLB
SPG
WBD
TER
FDX
NSC
FIX
BSX
PSX
DASH
TRV
MNST
URI
MSI
NOC
KMI
HPE
APD
TFC
KKR
CIEN
PCAR
REGN
TGT
DLR
SRE
DAL
CARR
ALL
LITE
TEL
KEYS
D
ABNB
HCA
CTAS
GWW
TRGP
AJG
APO
COR
F
AME
BKR
NUE
FLEX
FAST
AFL
CAH
LHX
CTVA
O
OKE
VST
PSA
AZO
EW
MCHP
NKE
ROK
FITB
STT
ETR
EBAY
DVN
CVNA
EXC
XEL
EA
MET
WAB
YUM
KDP
DHI
IDXX
ON
RSG
XYZ
PEG
ADSK
HUM
VTR
UAL
MSCI
IBKR
VMC
ODFL
AMP
AIG
CMG
JBL
A
ED
MLM
TTWO
CBRE
IRM
BDX
SYY
WEC
HIG
KMB
WAT
PCG
GRMN
CCL
KVUE
EME
CCI
PYPL
ADM
OXY
MTB
PRU
Q
NDAQ
HBAN
COIN
AXON
FANG
DTE
ZTS
ACGL
IQV
NTRS
ROP
PAYX
KR
GEHC
CNC
STLD
EXR
NTAP
DOV
BIIB
CW
EQT
EXPE
CRS
RMD
AEE
CNP
TWLO
PPG
HUBB
TPR
TDY
EIX
PPL
FICO
ILMN
VICI
NVT
CINF
CASY
HSY
CBOE
CFG
NRG
DXCM
XYL
FTI
FSLR
CPRT
STRL
IR
WSM
OTIS
DG
FISV
ATO
ATI
HAL
ENTG
DRI
RJF
AVB
WWD
AWK
WST
WDAY
PHM
LYV
FE
UTHR
MTD
ES
RF
CHD
LUV
WTW
VEEV
TROW
SYF
XPO
SW
MTZ
ARES
CPAY
DGX
EQR
LH
PKG
KEY
WRB
CMS
SNX
BURL
TTMI
P
SNA
VRSK
MKSI
DLTR
CTSH
CHRW
TPL
DOW
RBA
L
STE
HPQ
FIS
LEN
USFD
MRNA
SBAC
IP
ULTA
INCY
DD
EVRG
LSCC
FFIV
FN
AMCR
RS
VLTO
OKTA
EXPD
VRSN
NI
VTRS
EL
LNT
MTSI
EFX
RBC
BWXT
IFF
OMC
WY
PFG
KHC
ZBH
EWBC
STZ
LII
TLN
GIS
AKAM
BRO
ESS
GNRC
ALB
EXE
CDW
JBHT
MAS
GPN
ROKU
HST
DKS
KIM
IEX
ITT
TSN
INVH
RL
FDXF
NVR
PFGC
BR
TSCO
BG
FTV
LECO
RGLD
WCC
J
NBIX
DECK
GPC
MAA
BBY
WPC
CDE
NDSN
BALL
DY
APG
MLI
SMCI
CF
RRX
GL
JLL
PNFP
EG
ONTO
NXT
CLH
THC
RMBS
SGI
RPM
LYB
ARMK
DTM
SWK
LDOS
DOC
TOL
GEN
EXEL
EQH
WBS
LAMR
AIZ
RGA
PR
AIT
PTC
CSL
OVV
BLD
RVTY
REG
SOLS
AVY
JAZZ
COO
AEIS
TXT
LVS
SANM
CCK
EVR
TRU
ZBRA
LULU
RNR
APTV
WSO
KNX
TRMB
GGG
ROL
NTNX
PNR
FHN
ALLY
ARW
PNW
LFUS
ALGN
CSGP
TXRH
MEDP
ALLE
GLPI
MOG.A
FNF
HII
OC
MOH
BWA
MKC
ROIV
TYL
SAIA
SJM
GDDY
APA
ELAN
CLX
SWKS
R
UDR
PEN
CPT
BJ
SF
VIAV
ELS
OHI
CHTR
CGNX
UNM
HAS
NLY
BMRN
SCI
AAL
FORM
ZION
SPXC
DCI
BAX
SMTC
SOLV
NYT
PODD
FIVE
PINS
EHC
AMH
BLDR
CR
WTS
SITM
IVZ
WYNN
ESI
IT
TKO
TTC
AGX
DINO
DT
CRL
AES
POWL
NWSA
AR
FLS
OGE
JKHY
WMS
JEF
SN
SSB
CACI
VOYA
OSK
ACM
AFG
MTCH
BRX
FOXA
PRI
GME
ESE
AA
RRC
HL
AYI
ECHO
ENS
QRVO
ETSY
TECH
TKR
FCFS
GWRE
ALV
CRUS
CUBE
BXP
HALO
BEN
FRT
CYTK
H
GMED
FLR
NCLH
COLB
KTOS
WTFC
DOCU
CG
KRYS
MUSA
VMI
CFR
SEIC
LAD
SSD
